day,amount
2016-01-01,50
2016-02-01,50
2016-03-01,100
2016-04-01,100
2016-05-01,100
2016-06-01,100
2016-07-01,50
2016-08-01,627
2016-09-01,665
2016-10-01,529
2016-11-01,322
2016-12-01,376
2017-01-01,28
2017-02-01,200
2017-03-01,905
2017-04-01,664
2017-05-01,713
2017-06-01,863
2017-07-01,665
2017-08-01,1138
2017-09-01,729
2017-10-01,750
2017-11-01,717
2017-12-01,660
2018-01-01,625
2018-02-01,437
2018-03-01,995
2018-04-01,975
2018-05-01,1159
2018-06-01,916
2018-07-01,1059
2018-08-01,1720
2018-09-01,661
2018-10-01,1091
2018-11-01,1101
2018-12-01,950
2019-01-01,1521
2019-02-01,1236
2019-03-01,2765
2019-04-01,3466
2019-05-01,3974
2019-06-01,4629
2019-07-01,4816
2019-08-01,5799
2019-09-01,8643
2019-10-01,9339
