,amount,day
0,0,2019-11-01
1,0,2019-10-01
2,2,2019-09-01
3,2,2019-08-01
4,2,2019-07-01
5,2,2019-06-01
6,2,2019-05-01
7,6,2019-04-01
8,4,2019-03-01
9,10,2019-02-01
10,8,2019-01-01
11,6,2018-12-01
12,8,2018-11-01
13,10,2018-10-01
14,16,2018-09-01
15,18,2018-08-01
16,32,2018-07-01
17,20,2018-06-01
18,22,2018-05-01
19,44,2018-04-01
20,24,2018-03-01
21,64,2018-02-01
22,40,2018-01-01
23,54,2017-12-01
24,126,2017-11-01
25,210,2017-10-01
26,886,2017-09-01
27,118,2017-08-01
28,62,2017-07-01
29,74,2017-06-01
30,102,2017-05-01
31,106,2017-04-01
32,114,2017-03-01
33,212,2017-02-01
34,138,2017-01-01
35,176,2016-12-01
36,732,2016-11-01
37,1910,2016-10-01
38,1848,2016-09-01
39,420,2016-08-01
40,34,2016-07-01
41,60,2016-06-01
42,66,2016-05-01
43,96,2016-04-01
44,114,2016-03-01
45,142,2016-02-01
46,66,2016-01-01
47,74,2015-12-01
48,342,2015-11-01
49,428,2015-10-01
50,1380,2015-09-01
51,1350,2015-08-01
52,1294,2015-07-01
53,1238,2015-06-01
54,1216,2015-05-01
55,1024,2015-04-01
56,878,2015-03-01
57,740,2015-02-01
58,174,2015-01-01
59,124,2014-12-01
