day,amount,month,year
2019-11-01,0,11,2019
2019-10-01,26,10,2019
2019-09-01,90,9,2019
2019-08-01,60,8,2019
2019-07-01,76,7,2019
2019-06-01,100,6,2019
2019-05-01,116,5,2019
2019-04-01,128,4,2019
2019-03-01,140,3,2019
2019-02-01,186,2,2019
2019-01-01,94,1,2019
2018-12-01,76,12,2018
2018-11-01,310,11,2018
2018-10-01,238,10,2018
2018-09-01,434,9,2018
2018-08-01,672,8,2018
2018-07-01,872,7,2018
2018-06-01,830,6,2018
2018-05-01,1010,5,2018
2018-04-01,1006,4,2018
2018-03-01,1102,3,2018
2018-02-01,1434,2,2018
2018-01-01,564,1,2018
2017-12-01,1206,12,2017
2017-11-01,2624,11,2017
2017-10-01,3782,10,2017
2017-09-01,18243,9,2017
2017-08-01,3322,8,2017
2017-07-01,1390,7,2017
2017-06-01,1412,6,2017
2017-05-01,1624,5,2017
2017-04-01,2110,4,2017
2017-03-01,2590,3,2017
2017-02-01,3880,2,2017
2017-01-01,2978,1,2017
2016-12-01,3646,12,2016
2016-11-01,14004,11,2016
2016-10-01,34472,10,2016
2016-09-01,34722,9,2016
2016-08-01,10152,8,2016
2016-07-01,938,7,2016
2016-06-01,1226,6,2016
2016-05-01,1478,5,2016
2016-04-01,1684,4,2016
2016-03-01,1952,3,2016
2016-02-01,2744,2,2016
2016-01-01,1268,1,2016
2015-12-01,1812,12,2015
2015-11-01,5674,11,2015
2015-10-01,7492,10,2015
2015-09-01,22380,9,2015
2015-08-01,20983,8,2015
2015-07-01,21924,7,2015
2015-06-01,19316,6,2015
2015-05-01,17658,5,2015
2015-04-01,15190,4,2015
2015-03-01,13728,3,2015
2015-02-01,11040,2,2015
2015-01-01,2674,1,2015
2014-12-01,1948,12,2014
