day,amount,month,year
2019-11-01,2173.0,11,2019
2019-10-01,67198.0,10,2019
2019-09-01,10043117.0,9,2019
2019-08-01,32073.0,8,2019
2019-07-01,24432.0,7,2019
2019-06-01,19533.0,6,2019
2019-05-01,20934.0,5,2019
2019-04-01,18616.0,4,2019
2019-03-01,16048.0,3,2019
2019-02-01,8343.0,2,2019
2019-01-01,5334.0,1,2019
2018-12-01,7165.0,12,2018
2018-11-01,9098.0,11,2018
2018-10-01,8293.0,10,2018
2018-09-01,5680.0,9,2018
2018-08-01,13510.0,8,2018
2018-07-01,8261.0,7,2018
2018-06-01,7289.0,6,2018
2018-05-01,7934.0,5,2018
2018-04-01,7649.0,4,2018
2018-03-01,8259.0,3,2018
2018-02-01,3042.0,2,2018
2018-01-01,4424.0,1,2018
2017-12-01,4821.0,12,2017
2017-11-01,8436.0,11,2017
2017-10-01,6371.0,10,2017
2017-09-01,5361.0,9,2017
2017-08-01,6157.0,8,2017
2017-07-01,5861.0,7,2017
2017-06-01,7154.0,6,2017
2017-05-01,5975.0,5,2017
2017-04-01,5963.0,4,2017
2017-03-01,5811.0,3,2017
2017-02-01,2915.0,2,2017
2017-01-01,512.0,1,2017
2016-12-01,3001.0,12,2016
2016-11-01,3187.0,11,2016
2016-10-01,3151.0,10,2016
2016-09-01,3175.0,9,2016
2016-08-01,4284.0,8,2016
2016-07-01,686.0,7,2016
2016-06-01,840.0,6,2016
2016-05-01,520.0,5,2016
2016-04-01,230.0,4,2016
2016-03-01,750.0,3,2016
2016-02-01,130.0,2,2016
2016-01-01,320.0,1,2016
